,Movies,Year,Certificate,IMDB,Metascore,Votes,Gross,Runtime,Genre
1886,Sydney White,(2007),PG-13,6.2,45        ,46060,"11,892,415",108 min,"
Comedy, Drama, Romance            "
1887,Diary of the Dead,(2007),R,5.6,66        ,45838,"958,961",95 min,"
Fantasy, Horror, Sci-Fi            "
1888,Perfect Stranger,(2007),R,5.7,31        ,45114,"23,984,949",109 min,"
Crime, Mystery, Thriller            "
1889,Mongol: The Rise of Genghis Khan,(2007),R,7.2,74        ,44671,"5,701,643",126 min,"
Action, Biography, Drama            "
1890,In the Name of the King: A Dungeon Siege Tale,(2007),PG-13,3.8,15        ,44397,"4,535,117",127 min,"
Action, Adventure, Fantasy            "
1891,Waitress,(2007),PG-13,7.0,75        ,43622,"19,067,631",108 min,"
Comedy, Drama, Romance            "
1892,The Counterfeiters,(2007),R,7.6,78        ,43246,"5,484,715",99 min,"
Crime, Drama, History            "
1893,Mr. Magorium's Wonder Emporium,(2007),G,6.2,48        ,42744,"32,061,555",93 min,"
Comedy, Family, Fantasy            "
1894,Pathfinder,(2007),R,5.4,29        ,42622,"10,232,081",99 min,"
Action, Adventure, Drama            "
1895,Big Stan,(2007),R,6.2,No Metascore found,41968,,105 min,"
Action, Comedy            "
1896,The Reaping,(2007),R,5.6,36        ,41895,"25,117,498",99 min,"
Horror, Thriller            "
1897,Teeth,(I) (2007),R,5.4,57        ,41597,"347,578",94 min,"
Comedy, Fantasy, Horror            "
1898,The Visitor,(I) (2007),PG-13,7.6,79        ,41547,"9,422,422",104 min,"
Drama            "
1899,Balls of Fury,(2007),PG-13,5.3,38        ,40762,"32,844,290",90 min,"
Comedy, Crime, Sport            "
1900,Fred Claus,(2007),PG,5.6,42        ,40742,"72,006,777",116 min,"
Comedy, Family, Fantasy            "
1901,The Hitcher,(2007),R,5.6,28        ,40671,"16,472,961",84 min,"
Crime, Thriller            "
1902,Om Shanti Om,(2007),PG-13,6.7,No Metascore found,39004,"3,597,372",162 min,"
Action, Comedy, Drama            "
1903,The Messengers,(2007),PG-13,5.4,34        ,38334,"35,374,833",90 min,"
Drama, Horror, Thriller            "
1904,License to Wed,(2007),PG-13,5.3,25        ,37973,"43,799,818",91 min,"
Comedy, Romance            "
1905,The Water Horse,(2007),PG,6.4,71        ,37816,"40,412,817",112 min,"
Adventure, Family, Fantasy            "
1906,Inside,(2007),R,6.8,No Metascore found,37476,,82 min,"
Horror            "
1907,"Lust, Caution",(2007),NC-17,7.5,61        ,37415,"4,604,982",157 min,"
Drama, History, Romance            "
1908,Because I Said So,(2007),PG-13,5.7,26        ,37360,"42,674,040",102 min,"
Comedy, Romance            "
1909,Cleaner,(2007),R,6.1,49        ,37341,,88 min,"
Crime, Mystery, Thriller            "
1910,Boy A,(2007),R,7.6,75        ,36588,"106,368",102 min,"
Drama            "
1911,The Savages,(2007),R,7.1,85        ,35843,"6,610,326",113 min,"
Comedy, Drama            "
1912,Mr. Woodcock,(2007),PG-13,5.2,41        ,34977,"25,628,629",87 min,"
Comedy, Romance, Sport            "
1913,The Invisible,(2007),PG-13,6.2,36        ,34704,"20,568,319",102 min,"
Crime, Drama, Fantasy            "
1914,The Last Legion,(2007),PG-13,5.4,37        ,34203,"5,932,060",101 min,"
Action, Adventure, War            "
1915,The Air I Breathe,(2007),R,6.8,37        ,33429,"25,775",95 min,"
Crime, Drama, Thriller            "
1916,The Nines,(2007),R,6.3,52        ,32693,"62,745",100 min,"
Drama, Fantasy, Mystery            "
1917,An American Crime,(2007),R,7.3,No Metascore found,32453,,98 min,"
Biography, Crime, Drama            "
1918,P2,(2007),R,5.9,37        ,31901,"3,992,339",98 min,"
Crime, Horror, Thriller            "
1919,Goal II: Living the Dream,(2007),PG-13,5.9,No Metascore found,31422,,115 min,"
Adventure, Drama, Sport            "
1920,In the Land of Women,(2007),PG-13,6.4,47        ,30934,"11,043,445",97 min,"
Comedy, Drama, Romance            "
1921,The Edge of Heaven,(2007),Not Rated,7.8,85        ,30828,"741,283",122 min,"
Drama            "
1922,Son of Rambow,(2007),PG-13,7.0,66        ,30809,"1,784,769",96 min,"
Action, Adventure, Comedy            "
1923,Sleuth,(2007),R,6.5,49        ,30494,"342,835",88 min,"
Crime, Drama, Mystery            "
1924,Shattered,(2007),R,6.7,No Metascore found,30452,,95 min,"
Crime, Drama, Mystery            "
1925,Two Days in Paris,(2007),R,6.8,67        ,30169,"4,432,981",96 min,"
Comedy, Drama, Romance            "
1926,Paranoid Park,(2007),R,6.7,83        ,29151,"486,021",85 min,"
Crime, Drama, Mystery            "
1927,Rogue,(2007),R,6.2,No Metascore found,27978,"10,452",99 min,"
Action, Adventure, Drama            "
1928,Things We Lost in the Fire,(2007),R,7.2,63        ,27647,"3,287,315",118 min,"
Drama            "
1929,A Mighty Heart,(2007),R,6.6,74        ,26818,"9,176,787",108 min,"
Biography, Drama, History            "
1930,Taxi 4,(2007),Not Rated,5.6,No Metascore found,26675,,91 min,"
Action, Comedy, Crime            "
1931,Reno 911! Miami,(2007),R,5.9,47        ,26224,"20,342,161",84 min,"
Comedy, Crime            "
1932,The Jane Austen Book Club,(2007),PG-13,6.8,61        ,26078,"3,573,870",106 min,"
Comedy, Drama, Romance            "
1933,I Know Who Killed Me,(2007),R,3.6,16        ,25965,"7,498,716",105 min,"
Crime, Mystery, Thriller            "
1934,The Warlords,(2007),R,7.0,70        ,25784,"128,978",126 min,"
Action, Adventure, Drama            "
1935,Frontier(s),(2007),Unrated,6.2,44        ,25196,,108 min,"
Horror            "
1936,The Hunting Party,(2007),R,6.8,54        ,24624,"969,869",101 min,"
Adventure, Comedy, Drama            "
1937,Georgia Rule,(2007),R,5.8,25        ,23906,"18,882,880",113 min,"
Comedy, Drama            "
1938,Dragon Wars: D-War,(2007),PG-13,3.5,33        ,23692,"10,977,721",107 min,"
Action, Drama, Fantasy            "
1939,My Name Is Bruce,(2007),R,6.2,36        ,23649,"173,066",84 min,"
Comedy, Fantasy, Horror            "
1940,The Girl Next Door,(2007),R,6.6,29        ,23531,,91 min,"
Crime, Drama, Horror            "
1941,Eagle vs Shark,(2007),R,6.8,55        ,23089,"221,846",88 min,"
Comedy, Romance            "
1942,Flawless,(2007),PG-13,6.8,57        ,22997,"1,200,234",108 min,"
Crime, Drama, Thriller            "
1943,Reservation Road,(2007),R,6.7,46        ,22586,"121,994",102 min,"
Crime, Drama, Thriller            "
1944,Captivity,(2007),R,4.7,24        ,22537,"2,626,800",96 min,"
Crime, Horror, Mystery            "
1945,Love in the Time of Cholera,(2007),R,6.4,43        ,22519,"4,607,608",139 min,"
Drama, Romance            "
1946,Postal,(2007),R,4.5,22        ,22278,"18,005,198",100 min,"
Action, Comedy, Crime            "
1947,King of California,(2007),PG-13,6.6,63        ,22151,"263,674",93 min,"
Comedy, Drama            "
1948,Guru,(2007),Not Rated,7.7,70        ,22008,"2,087,000",166 min,"
Biography, Drama            "
1949,He Was a Quiet Man,(2007),Not Rated,6.8,53        ,21959,,100 min,"
Drama, Romance, Thriller            "
1950,Wind Chill,(2007),R,5.8,52        ,21892,"20,146",91 min,"
Drama, Horror, Thriller            "
1951,Bhool Bhulaiyaa,(2007),Not Rated,7.3,No Metascore found,21851,"1,069,952",159 min,"
Comedy, Horror, Mystery            "
1952,Stomp the Yard,(2007),PG-13,5.5,44        ,21732,"61,356,221",115 min,"
Drama, Music, Romance            "
1953,St. Trinian's,(2007),PG-13,5.8,39        ,21521,,97 min,"
Comedy, Family            "
1954,Arn: The Knight Templar,(2007),R,6.6,No Metascore found,21156,,139 min,"
Action, Drama, Romance            "
1955,Shelter,(II) (2007),R,7.6,66        ,21117,"142,666",97 min,"
Drama, Romance, Sport            "
1956,The Last Mimzy,(2007),PG,6.2,59        ,20790,"21,471,047",90 min,"
Action, Adventure, Drama            "
1957,Namastey London,(2007),Can not catch,7.1,No Metascore found,20595,"1,207,007",128 min,"
Comedy, Drama, Romance            "
1958,For Love and Honour,(2007),Can not catch,7.8,No Metascore found,20572,,140 min,"
Action, Crime, Drama            "
1959,The Signal,(2007),R,6.0,63        ,20342,"597,420",103 min,"
Horror, Sci-Fi, Thriller            "
1960,Resurrecting the Champ,(2007),PG-13,6.7,55        ,20125,"3,172,573",112 min,"
Drama, Sport            "
1961,Lucky You,(2007),PG-13,5.9,49        ,20058,"5,755,286",124 min,"
Drama, Romance, Sport            "
1962,Martian Child,(2007),PG,6.8,48        ,19884,"7,486,906",106 min,"
Comedy, Drama, Family            "
1963,Fermat's Room,(2007),Not Rated,6.7,No Metascore found,19848,,89 min,"
Mystery, Thriller            "
1964,Underdog,(2007),PG,4.7,37        ,19679,"43,751,706",84 min,"
Action, Adventure, Comedy            "
1965,Are We Done Yet?,(2007),PG,4.2,36        ,19654,"49,631,958",92 min,"
Comedy, Family, Fantasy            "
1966,Margot at the Wedding,(2007),R,6.0,66        ,19486,"1,959,420",91 min,"
Comedy, Drama            "
1967,Meet Bill,(2007),R,6.2,30        ,19478,"59,108",93 min,"
Comedy, Drama            "
1968,Nancy Drew,(2007),PG,5.9,53        ,19419,"25,612,520",99 min,"
Comedy, Crime, Family            "
1969,Rise of the Footsoldier,(2007),R,6.8,No Metascore found,19154,,119 min,"
Action, Biography, Crime            "
1970,YPF,(2007),Not Rated,6.2,39        ,18948,,87 min,"
Comedy, Drama, Romance            "
1971,99 francs,(2007),PG-13,7.3,No Metascore found,18777,,100 min,"
Comedy, Drama            "
1972,Welcome,(I) (2007),Not Rated,6.9,No Metascore found,18583,"1,085,043",159 min,"
Comedy, Romance            "
1973,Ben X,(2007),Not Rated,7.4,No Metascore found,18356,"3,912",93 min,"
Drama, Thriller            "
1974,Sivaji,(2007),Not Rated,7.5,No Metascore found,17867,,188 min,"
Action, Drama, Thriller            "
1975,You Kill Me,(2007),R,6.5,64        ,17850,"2,426,851",93 min,"
Comedy, Crime, Romance            "
1976,Bratz,(2007),PG,3.1,21        ,17772,"10,005,534",110 min,"
Comedy, Family, Music            "
1977,Evangelion: 1.0 You Are (Not) Alone,(2007),PG-13,7.7,No Metascore found,17667,"107,797",98 min,"
Animation, Action, Drama            "
1978,Blood and Chocolate,(2007),PG-13,5.5,33        ,17206,"3,525,161",98 min,"
Drama, Fantasy, Horror            "
1979,Rabbit Without Ears,(2007),Can not catch,6.5,No Metascore found,17158,,116 min,"
Comedy, Romance            "
1980,I Could Never Be Your Woman,(2007),PG-13,6.0,No Metascore found,17030,,97 min,"
Comedy, Drama, Romance            "
1981,Trade,(I) (2007),R,7.4,42        ,16821,"214,202",120 min,"
Crime, Drama, Thriller            "
1982,Smiley Face,(2007),R,5.8,71        ,16514,"9,397",85 min,"
Adventure, Comedy            "
1983,I Think I Love My Wife,(2007),R,5.5,49        ,16425,"12,550,605",90 min,"
Comedy, Drama, Romance            "
1984,The Ten,(2007),R,5.0,50        ,16278,"766,487",96 min,"
Comedy, Romance            "
1985,Shrooms,(2007),Not Rated,4.7,No Metascore found,16009,"1,849",84 min,"
Comedy, Horror, Mystery            "
1986,Feast of Love,(2007),R,6.6,51        ,15984,"3,504,875",97 min,"
Drama, Romance            "
1987,The Poughkeepsie Tapes,(2007),R,6.0,No Metascore found,15827,,81 min,"
Horror, Mystery, Thriller            "
1988,Daddy Day Camp,(2007),PG,3.1,13        ,15705,"13,235,267",93 min,"
Comedy, Family            "
1989,Katyn,(2007),Not Rated,7.0,81        ,15586,"118,095",121 min,"
Drama, History, War            "
1990,City of Men,(2007),R,7.2,63        ,15086,"307,076",106 min,"
Crime, Drama            "
1991,Sword of the Stranger,(2007),Not Rated,7.8,No Metascore found,14979,,103 min,"
Animation, Action, Adventure            "
1992,The Seeker: The Dark Is Rising,(2007),PG,4.8,38        ,14798,"8,791,738",99 min,"
Adventure, Drama, Family            "
1993,Sukiyaki Western Django,(2007),R,6.2,55        ,14675,"48,034",121 min,"
Action, Western            "
1994,Who's Your Caddy?,(2007),PG-13,2.2,18        ,14526,"5,694,308",93 min,"
Comedy, Sport            "
1995,"You, the Living",(2007),Not Rated,7.5,81        ,14439,"21,438",95 min,"
Comedy, Drama, Music            "
1996,The Class,(2007),Can not catch,7.9,No Metascore found,14323,,99 min,"
Drama            "
1997,Battle in Seattle,(2007),R,6.7,54        ,14212,"223,537",98 min,"
Action, Drama, History            "
1998,Bobby Z,(2007),R,5.8,No Metascore found,14080,,97 min,"
Action, Crime, Thriller            "
1999,12,(2007),PG-13,7.7,72        ,13952,"125,120",159 min,"
Crime, Drama, Thriller            "
2000,The Dark Knight,(2008),PG-13,9.0,84        ,2303744,"534,858,444",152 min,"
Action, Crime, Drama            "
2001,WALL·E,(2008),G,8.4,95        ,1000000,"223,808,164",98 min,"
Animation, Adventure, Family            "
2002,Iron Man,(2008),PG-13,7.9,79        ,939827,"318,412,101",126 min,"
Action, Adventure, Sci-Fi            "
2003,Slumdog Millionaire,(2008),R,8.0,84        ,798972,"141,319,928",120 min,"
Drama, Romance            "
2004,Gran Torino,(2008),R,8.1,72        ,720552,"148,095,302",116 min,"
Drama            "
2005,The Curious Case of Benjamin Button,(2008),PG-13,7.8,70        ,589266,"127,509,326",166 min,"
Drama, Fantasy, Romance            "
2006,Taken,(I) (2008),PG-13,7.8,51        ,564839,"145,000,989",90 min,"
Action, Thriller            "
2007,Hancock,(2008),PG-13,6.4,49        ,444789,"227,946,274",92 min,"
Action, Drama, Fantasy            "
2008,The Incredible Hulk,(2008),PG-13,6.7,61        ,434114,"134,518,390",112 min,"
Action, Adventure, Sci-Fi            "
2009,Twilight,(I) (2008),PG-13,5.2,56        ,426866,"191,465,414",122 min,"
Drama, Fantasy, Romance            "
2010,Indiana Jones and the Kingdom of the Crystal Skull,(2008),PG-13,6.1,65        ,425509,"317,101,119",122 min,"
Action, Adventure            "
2011,The Hurt Locker,(2008),R,7.5,95        ,421554,"17,017,811",131 min,"
Drama, Thriller, War            "
2012,Kung Fu Panda,(2008),PG,7.5,74        ,419953,"215,434,591",92 min,"
Animation, Action, Adventure            "
2013,Quantum of Solace,(2008),PG-13,6.6,58        ,405646,"168,368,427",106 min,"
Action, Adventure, Thriller            "
2014,In Bruges,(2008),R,7.9,67        ,390383,"7,757,130",107 min,"
Comedy, Crime, Drama            "
2015,Tropic Thunder,(2008),R,7.0,71        ,377544,"110,515,313",107 min,"
Action, Comedy, War            "
2016,Cloverfield,(2008),PG-13,7.0,64        ,373079,"80,048,433",85 min,"
Action, Horror, Sci-Fi            "
2017,Wanted,(2008),R,6.7,64        ,360002,"134,508,551",110 min,"
Action, Crime, Thriller            "
2018,Yes Man,(2008),PG-13,6.8,46        ,335712,"97,690,976",104 min,"
Comedy, Romance            "
2019,Pineapple Express,(2008),R,6.9,64        ,316402,"87,341,380",111 min,"
Action, Comedy, Crime            "
2020,Burn After Reading,(2008),R,7.0,63        ,309968,"60,355,347",96 min,"
Comedy, Crime, Drama            "
2021,The Wrestler,(2008),R,7.9,80        ,289438,"26,236,603",109 min,"
Drama, Sport            "
2022,Seven Pounds,(2008),PG-13,7.6,36        ,286803,"69,951,824",123 min,"
Drama            "
2023,Jumper,(2008),PG-13,6.1,35        ,286556,"80,172,128",88 min,"
Action, Adventure, Sci-Fi            "
2024,Step Brothers,(2008),R,6.9,51        ,268272,"100,468,793",98 min,"
Comedy            "
2025,Forgetting Sarah Marshall,(2008),R,7.1,67        ,264206,"63,172,463",111 min,"
Comedy, Drama, Romance            "
2026,Hellboy II: The Golden Army,(2008),PG-13,7.0,78        ,255602,"75,754,670",120 min,"
Action, Adventure, Fantasy            "
2027,Vicky Cristina Barcelona,(2008),PG-13,7.1,70        ,242468,"23,216,709",96 min,"
Comedy, Drama, Romance            "
2028,Changeling,(2008),R,7.7,63        ,239235,"35,739,802",141 min,"
Biography, Crime, Drama            "
2029,RocknRolla,(2008),R,7.3,53        ,235914,"5,694,401",114 min,"
Action, Crime, Thriller            "
2030,The Reader,(2008),R,7.6,58        ,230418,"34,194,407",124 min,"
Drama, Romance            "
2031,21,(2008),PG-13,6.8,48        ,229621,"81,159,365",123 min,"
Crime, Drama, History            "
2032,Valkyrie,(2008),PG-13,7.1,56        ,228599,"83,077,833",121 min,"
Drama, History, Thriller            "
2033,Role Models,(2008),R,6.8,61        ,220095,"67,294,270",99 min,"
Comedy            "
2034,Rambo,(2008),R,7.0,46        ,218144,"42,754,105",92 min,"
Action, Thriller            "
2035,Mamma Mia!,(2008),PG-13,6.4,51        ,216183,"144,130,063",108 min,"
Comedy, Musical, Romance            "
2036,Body of Lies,(2008),R,7.1,57        ,213755,"39,394,666",128 min,"
Action, Drama, Thriller            "
2037,Ip Man,(2008),R,8.0,59        ,211449,,106 min,"
Action, Biography, Drama            "
2038,Madagascar: Escape 2 Africa,(2008),PG,6.6,61        ,205776,"180,010,950",89 min,"
Animation, Adventure, Comedy            "
2039,Let the Right One In,(2008),R,7.9,82        ,205619,"2,122,065",114 min,"
Crime, Drama, Fantasy            "
2040,Get Smart,(2008),PG-13,6.5,54        ,204126,"130,319,208",110 min,"
Action, Adventure, Comedy            "
2041,Death Race,(2008),R,6.4,43        ,197801,"36,316,032",105 min,"
Action, Sci-Fi, Thriller            "
2042,Revolutionary Road,(2008),R,7.3,69        ,197085,"22,911,480",119 min,"
Drama, Romance            "
2043,The Happening,(2008),R,5.0,34        ,195677,"64,506,874",91 min,"
Drama, Mystery, Sci-Fi            "
2044,The Chronicles of Narnia: Prince Caspian,(2008),PG,6.5,62        ,194537,"141,621,490",150 min,"
Action, Adventure, Family            "
2045,You Don't Mess with the Zohan,(2008),PG-13,5.5,54        ,190941,"100,018,837",113 min,"
Comedy            "
2046,The Boy in the Striped Pajamas,(2008),PG-13,7.8,55        ,190781,"9,030,581",94 min,"
Drama, History, War            "
2047,Bolt,(2008),PG,6.8,67        ,190174,"114,053,579",96 min,"
Animation, Adventure, Comedy            "
2048,Eagle Eye,(2008),PG-13,6.6,43        ,176095,"101,111,837",118 min,"
Action, Mystery, Thriller            "
2049,The Bank Job,(2008),R,7.2,69        ,173174,"30,028,592",111 min,"
Crime, Drama, Thriller            "
2050,Zack and Miri Make a Porno,(2008),R,6.5,56        ,171938,"31,457,946",101 min,"
Comedy, Romance            "
2051,What Happens in Vegas,(2008),PG-13,6.1,36        ,165224,"80,277,646",99 min,"
Comedy, Romance            "
2052,Milk,(I) (2008),R,7.5,84        ,164666,"31,841,299",128 min,"
Biography, Drama            "
2053,The Day the Earth Stood Still,(2008),PG-13,5.5,40        ,163517,"79,366,978",104 min,"
Drama, Sci-Fi, Thriller            "
2054,Transporter 3,(2008),PG-13,6.1,51        ,157588,"31,715,062",104 min,"
Action, Crime, Thriller            "
2055,"Definitely, Maybe",(2008),PG-13,7.1,59        ,155590,"31,973,840",112 min,"
Comedy, Drama, Romance            "
2056,27 Dresses,(2008),PG-13,6.1,47        ,154203,"76,808,654",111 min,"
Comedy, Romance            "
2057,The Mummy: Tomb of the Dragon Emperor,(2008),PG-13,5.2,31        ,150920,"102,491,776",112 min,"
Action, Adventure, Fantasy            "
2058,Marley & Me,(2008),PG,7.1,53        ,146928,"143,153,751",115 min,"
Comedy, Drama, Family            "
2059,Vantage Point,(2008),PG-13,6.6,40        ,144679,"72,266,306",90 min,"
Action, Crime, Drama            "
2060,Defiance,(I) (2008),R,7.2,58        ,138174,"28,644,813",137 min,"
Action, Drama, History            "
2061,Harold & Kumar Escape from Guantanamo Bay,(2008),R,6.6,57        ,130792,"38,087,366",114 min,"
Adventure, Comedy            "
2062,Horton Hears a Who!,(2008),G,6.8,71        ,129649,"154,529,439",86 min,"
Animation, Adventure, Comedy            "
2063,"10,000 BC",(2008),PG-13,5.1,34        ,125727,"94,784,201",109 min,"
Action, Adventure, Drama            "
2064,Ponyo,(2008),G,7.7,86        ,125369,"15,090,400",101 min,"
Animation, Adventure, Comedy            "
2065,Max Payne,(2008),PG-13,5.4,31        ,121900,"40,689,393",100 min,"
Action, Crime, Drama            "
2066,Doubt,(I) (2008),PG-13,7.5,68        ,121864,"33,422,556",104 min,"
Drama, Mystery            "
2067,Bronson,(2008),R,7.1,71        ,120465,"104,792",92 min,"
Action, Biography, Crime            "
2068,Australia,(2008),PG-13,6.6,53        ,119177,"49,554,002",165 min,"
Adventure, Comedy, Drama            "
2069,The Strangers,(2008),R,6.2,47        ,118038,"52,597,610",86 min,"
Horror, Thriller            "
2070,Sex and the City,(2008),R,5.6,53        ,116066,"152,647,258",145 min,"
Comedy, Drama, Romance            "
2071,Saw V,(2008),R,5.8,20        ,115179,"56,746,769",92 min,"
Crime, Horror, Mystery            "
